                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3373,                 2.1143,                 1.8499,                0.41159,                0.46402,                0.22095,                0.13916,                 1.3706,                 2.0067,                  1.888,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.3618,                 2.1536,                 1.8685,                0.42644,                0.44763,                0.23802,                 0.1531,                  1.255,                 1.9803,                 1.7631,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.3286,                 2.0999,                 1.8253,                0.21544,                0.55912,                0.23576,                0.15717,                 1.2197,                  1.896,                 1.7547,             0.00081688,             0.00081688,             0.00081688
                     38,                  1.316,                 2.0778,                 1.8365,                0.27237,                0.51079,                0.24332,                0.16017,                 1.2303,                 1.9475,                 1.7694,              0.0008045,              0.0008045,              0.0008045
                     39,                   1.27,                 2.0629,                 1.7911,                0.42136,                0.54126,                0.24512,                0.16455,                 1.1723,                 1.8933,                 1.6966,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.2973,                 2.0663,                 1.8024,                0.21998,                 0.5337,                0.24522,                0.16564,                 1.1793,                 1.9126,                 1.6857,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.2809,                 2.0329,                 1.7764,                0.41812,                0.48243,                0.24035,                0.16155,                 1.1077,                 1.8924,                 1.6469,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.2438,                  1.997,                  1.752,                0.21076,                0.56629,                0.24353,                0.16284,                 1.2395,                 1.8636,                 1.7289,               0.000755,               0.000755,               0.000755
                     43,                 1.2713,                 2.0631,                 1.7889,                0.21523,                 0.5293,                0.23885,                0.16416,                 1.1087,                  1.841,                 1.6694,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.2718,                 2.0379,                  1.784,                0.21824,                0.53398,                0.24271,                0.16293,                 1.1268,                 1.8623,                 1.6762,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.2365,                  2.017,                 1.7591,                0.24936,                0.52435,                0.25519,                0.16629,                 1.1444,                 1.8466,                  1.657,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.2569,                 1.9831,                 1.7652,                0.23851,                0.57626,                0.26424,                0.18239,                 1.0984,                  1.811,                 1.6145,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.2276,                 1.9822,                 1.7533,                0.23891,                 0.5226,                0.25355,                0.17477,                 1.1336,                 1.8086,                 1.6464,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.2133,                 1.9668,                 1.7362,                0.21321,                0.55305,                0.25343,                0.16962,                 1.1211,                 1.8002,                 1.6401,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.1792,                 1.9411,                 1.7023,                 0.2127,                0.47485,                0.24969,                0.16704,                 1.0615,                 1.8886,                 1.5917,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.2052,                 1.9883,                 1.7299,                0.22353,                0.56091,                0.25544,                0.16896,                 1.1004,                 1.7814,                 1.6048,               0.000656,               0.000656,               0.000656
                     51,                 1.2067,                 1.9767,                 1.7249,                 0.2085,                0.56722,                0.24584,                0.16861,                 1.1131,                 1.7861,                  1.625,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.2194,                 1.9823,                 1.7275,                0.22411,                0.58568,                0.26463,                 0.1878,                 1.0343,                 1.7002,                 1.5408,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.1755,                 1.9484,                 1.7011,                0.27594,                0.54196,                0.25852,                0.18414,                 1.0347,                 1.7154,                 1.5381,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.1718,                 1.9123,                 1.6988,                0.28963,                0.56928,                0.26728,                0.19196,                0.98736,                 1.6829,                 1.5079,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.1574,                 1.8978,                 1.6758,                0.29431,                0.58617,                 0.2723,                0.19215,                0.99428,                 1.7063,                 1.5099,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.1389,                 1.9171,                 1.6914,                0.20965,                0.61269,                0.25836,                0.18351,                 1.0393,                 1.6868,                 1.5618,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.1489,                 1.9147,                 1.6884,                0.21302,                0.61788,                0.25971,                0.18504,                 1.0025,                 1.6738,                 1.5157,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.1743,                 1.8909,                 1.6912,                0.23207,                0.61665,                 0.2677,                0.19161,                 1.0143,                 1.6383,                 1.5125,               0.000557,               0.000557,               0.000557
                     59,                 1.1205,                 1.8805,                 1.6558,                0.22776,                0.57219,                0.26602,                0.18558,                 1.0019,                 1.6922,                 1.5174,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.1422,                 1.8937,                 1.6708,                0.19648,                0.57398,                0.27128,                0.19156,                0.94844,                 1.6809,                 1.4712,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.0873,                 1.8487,                 1.6184,                0.27519,                0.56828,                0.27079,                0.20023,                0.94023,                 1.6238,                 1.4646,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.0934,                 1.8447,                 1.6358,                0.24509,                0.56679,                0.27418,                0.19978,                0.95078,                 1.6266,                 1.4614,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.0915,                 1.8471,                 1.6309,                 0.2815,                0.55828,                0.27986,                0.20694,                0.93502,                 1.6181,                  1.446,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.0827,                 1.8304,                 1.6371,                0.23612,                0.57667,                0.26844,                0.19812,                 0.9443,                 1.6223,                 1.4636,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.0658,                 1.8171,                 1.6111,                0.22818,                0.58542,                0.28119,                0.20839,                0.91387,                 1.6072,                 1.4242,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.0776,                 1.8115,                 1.6184,                0.22009,                0.60651,                0.28342,                0.21007,                  0.915,                 1.5785,                 1.4241,               0.000458,               0.000458,               0.000458
                     67,                 1.0812,                 1.8331,                 1.6142,                0.44105,                0.57204,                0.28106,                0.20894,                0.90889,                 1.6093,                 1.4231,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.0638,                 1.8147,                 1.6066,                0.25643,                0.57799,                 0.2819,                0.20936,                0.91885,                 1.5687,                 1.4259,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.0761,                 1.8204,                 1.6215,                0.27826,                0.58242,                0.28941,                0.20692,                0.96916,                 1.5927,                 1.4662,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.0778,                 1.7975,                 1.6148,                0.26406,                0.58924,                0.28658,                0.21628,                0.89048,                 1.5562,                 1.4071,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.0442,                 1.7951,                 1.5991,                0.24838,                0.58876,                 0.2924,                0.21938,                0.92052,                 1.5738,                  1.415,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.0538,                 1.7859,                 1.5905,                0.25581,                 0.5944,                0.29332,                  0.222,                0.86847,                  1.555,                 1.3852,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.0426,                 1.7639,                  1.594,                0.23249,                0.58396,                0.28978,                 0.2167,                0.87368,                 1.5748,                 1.3855,             0.00037138,             0.00037138,             0.00037138
                     74,                 1.0685,                 1.8054,                  1.602,                  0.265,                0.57307,                0.29379,                0.22341,                0.86218,                 1.5326,                 1.3747,               0.000359,               0.000359,               0.000359
                     75,                 1.0296,                 1.7806,                 1.5713,                0.24876,                0.62335,                  0.299,                0.22825,                0.84634,                 1.5286,                 1.3618,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.0357,                 1.7632,                 1.5759,                 0.2518,                0.61824,                0.29469,                0.22514,                0.83869,                 1.5056,                 1.3506,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.0065,                 1.7353,                 1.5438,                0.25444,                0.60676,                0.29531,                   0.22,                0.87952,                 1.5763,                 1.3894,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.0122,                 1.7619,                 1.5521,                0.23906,                0.62506,                0.30453,                0.23355,                0.81995,                 1.5033,                 1.3364,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.0088,                  1.738,                 1.5667,                0.25069,                0.61375,                0.31076,                0.23798,                0.82349,                 1.4944,                 1.3398,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.0142,                 1.7369,                 1.5531,                0.25466,                0.58852,                0.30877,                0.23702,                0.81288,                 1.4802,                 1.3274,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.0064,                 1.7491,                 1.5661,                0.25079,                0.59433,                0.31512,                0.24402,                0.79235,                 1.4776,                 1.3183,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.0103,                 1.7457,                 1.5589,                0.27465,                0.63973,                0.31821,                0.24637,                0.78925,                 1.4788,                 1.3092,                0.00026,                0.00026,                0.00026
                     83,                 1.0095,                  1.741,                 1.5659,                0.27976,                0.61008,                0.31642,                0.24475,                0.79641,                 1.4763,                 1.3095,             0.00024762,             0.00024762,             0.00024762
                     84,                0.99094,                 1.7023,                 1.5498,                0.26603,                0.61531,                0.31169,                0.24136,                0.78977,                 1.4482,                 1.3114,             0.00023525,             0.00023525,             0.00023525
                     85,                0.98889,                 1.7462,                 1.5452,                0.28574,                0.62725,                0.32277,                0.25221,                 0.7805,                 1.4409,                 1.2945,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.0221,                 1.7144,                 1.5628,                0.25868,                0.64028,                0.31654,                0.24621,                0.78284,                 1.4491,                 1.2954,              0.0002105,              0.0002105,              0.0002105
                     87,                0.99864,                 1.7444,                 1.5744,                0.25748,                0.64948,                0.32798,                0.25464,                0.76385,                 1.4447,                 1.2814,             0.00019813,             0.00019813,             0.00019813
                     88,                0.99872,                  1.748,                 1.5585,                0.25916,                0.64488,                0.32448,                0.25421,                0.76448,                 1.4404,                  1.286,             0.00018575,             0.00018575,             0.00018575
                     89,                 0.9589,                 1.6979,                 1.5258,                0.25548,                0.65769,                0.33878,                0.26517,                 0.7708,                 1.4235,                 1.2837,             0.00017338,             0.00017338,             0.00017338
                     90,                0.96663,                 1.6814,                 1.5198,                0.26837,                0.65118,                0.34503,                  0.268,                 0.7572,                 1.4353,                 1.2741,               0.000161,               0.000161,               0.000161
                     91,                0.88254,                 1.6408,                 1.4723,                0.27486,                0.63486,                   0.33,                0.25731,                0.76755,                 1.4366,                 1.2885,             0.00014862,             0.00014862,             0.00014862
                     92,                 0.8826,                 1.5487,                 1.4643,                0.25784,                0.64731,                0.32756,                0.25409,                0.77109,                 1.4461,                 1.2759,             0.00013625,             0.00013625,             0.00013625
                     93,                 0.8265,                 1.5077,                 1.4103,                0.29583,                0.65707,                0.34996,                0.27596,                0.74258,                 1.4283,                 1.2625,             0.00012387,             0.00012387,             0.00012387
                     94,                0.83338,                 1.5097,                 1.4398,                0.28106,                0.66052,                0.35712,                0.28007,                0.74623,                 1.4171,                 1.2622,              0.0001115,              0.0001115,              0.0001115
                     95,                 0.8352,                 1.5015,                 1.4324,                 0.2832,                0.61986,                0.35824,                0.28171,                0.73838,                 1.3963,                 1.2541,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.81198,                 1.4757,                 1.4172,                0.27729,                0.65523,                 0.3669,                0.28767,                0.72682,                 1.4048,                 1.2493,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.80798,                 1.4859,                 1.4059,                0.29905,                0.63147,                0.37254,                0.29437,                0.71662,                 1.3931,                 1.2367,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.80502,                 1.4702,                 1.4069,                0.29039,                0.67263,                0.37442,                0.29867,                0.71086,                 1.3877,                 1.2275,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.79952,                 1.4725,                 1.3892,                0.28419,                0.64386,                0.36847,                0.29247,                0.71228,                  1.386,                 1.2269,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.78852,                 1.4549,                 1.3912,                0.28733,                0.65121,                0.37158,                0.29464,                0.70506,                 1.3733,                 1.2186,              3.725e-05,              3.725e-05,              3.725e-05
